TF Gene Sets-Myc-Mm_Myc_Chen,1
TF Gene Sets-Myc-Mm_Myc_Kidder,1
TF Gene Sets-Myc-Mm_Myc_Kim1,1
TF Gene Sets-Myc-Mm_Myc_Kim2,1
TF Gene Sets-Myc-Mm_Myc_Liu,1


TF Gene Sets-DMAP1-Mm_DMAP1_Kim2,1


TF Gene Sets-E2f4-Hs_E2F4_Boyer1,1
TF Gene Sets-E2f4-Mm_E2f4_Kim2,1

TF Gene Sets-GCN5-Mm_GCN5_Kim2,1

TF Gene Sets-MAX-Mm_MAX_Kim2,1

TF Gene Sets-TIP60-Mm_TIP60_Kim2,1

TF Gene Sets-Tcf3-Mm_Tcf3_Cole,1
TF Gene Sets-Tcf3-Mm_Tcf3_Marson,1
TF Gene Sets-Tcf3-Mm_Tcf3_Tam,1

TF Gene Sets-Nacc1-Mm_Nacc1_Kim1,1

TF Gene Sets-Nr0b1-Mm_Nr0b1_Kim1,1

TF Gene Sets-Zfp281-Mm_Zfp281_Kim1,1

TF Gene Sets-Zfp42-Mm_Zfp42_Kim1,1

TF Gene Sets-Eed-Mm_Eed_Boyer2,1

TF Gene Sets-Phc1-Mm_Phc1_Boyer2,1

TF Gene Sets-Rnf2-Mm_Rnf2_Boyer2,1

TF Gene Sets-Tbx3-Mm_Tbx3_Han,1

TF Gene Sets-Smad4-Hs_Smad4_Kim,1
TF Gene Sets-Smad4-Mm_Smad4_Fei,1

TF Gene Sets-Smad5-Mm_Smad5_Fei,1

TF Gene Sets-Smad2-Hs_Smad2_Kim,1
TF Gene Sets-Smad2-Hs_Smad2_Brown,1

TF Gene Sets-Smad3-Hs_Smad3_Kim,1
TF Gene Sets-Smad3-Hs_Smad3_Brown,1

TF Gene Sets-Ring1B-Mm_Ring1B_Ku,1
TF Gene Sets-Ezh2-Mm_Ezh2_Ku,1


TF Gene Sets-Fli1-Mm_Fli1_Wilson,1

TF Gene Sets-Gata2-Mm_Gata2_Wilson,1

TF Gene Sets-Gfi1b-Mm_Gfi1b_Wilson,1

TF Gene Sets-Lmo2-Mm_Lmo2_Wilson,1

TF Gene Sets-Lyl1-Mm_Lyl1_Wilson,1

TF Gene Sets-Meis1-Mm_Meis1_Wilson,1

TF Gene Sets-Pu1-Mm_Pu1_Wilson,1

TF Gene Sets-Scl-Mm_Scl_Wilson,1

TF Gene Sets-Runx1-Mm_Runx1_Wilson,1
TF Gene Sets-Runx1-Mm_Runx1_Wu,1

TF Gene Sets-Tcf7-Mm_Tcf7_Wu,1


TF Gene Sets-Brn2-Mm_Brn2_Lodato1,1
TF Gene Sets-Erg-Mm_Erg_Wilson,1
